Province,Harvest Area (ha),Productivity (ku/ha),Production (Ton),Year,Island
Aceh,11581.2,55.22,63950.8,2020,Sumatra
North Sumatra,135334.39,57.87,783126.62,2020,Sumatra
West Sumatra,65756.37,64.64,425025.38,2020,Sumatra
Riau,138.92,34.03,472.78,2020,Sumatra
Jambi,1111.0,68.45,7604.47,2020,Sumatra
South Sumatra,35073.88,60.37,211735.52,2020,Sumatra
Bengkulu,4145.68,56.48,23415.58,2020,Sumatra
Lampung,156654.98,62.04,971957.39,2020,Sumatra
Bangka Belitung Islands,28.73,44.09,126.66,2020,Sumatra
Riau Islands,2.75,55.4,15.22,2020,Sumatra
Jakarta,0.0,0.0,0.0,2020,Java
West Java,59430.55,70.4,418401.74,2020,Java
Central Java,377065.18,60.44,2279146.32,2020,Java
Daerah Istimewa Yogyakarta,31380.87,53.99,169430.71,2020,Java
East Java,722182.15,57.26,4134908.41,2020,Java
Banten,2945.5,69.09,20349.88,2020,Java
Bali,7927.98,44.14,34994.61,2020,Bali–Nusa Tenggara
West Nusa Tenggara,145562.61,59.12,860494.72,2020,Bali–Nusa Tenggara
East Nusa Tenggara,107094.89,23.85,255452.99,2020,Bali–Nusa Tenggara
West Kalimantan,4721.73,42.96,20284.05,2020,Kalimantan
Central Kalimantan,5816.31,53.3,30998.17,2020,Kalimantan
South Kalimantan,28796.76,53.06,152796.9,2020,Kalimantan
East Kalimantan,1989.07,53.21,10584.65,2020,Kalimantan
North Kalimantan,292.82,39.93,1169.07,2020,Kalimantan
North Sulawesi,42343.67,41.19,174417.59,2020,Sulawesi
Central Sulawesi,14648.4,44.78,65595.66,2020,Sulawesi
South Sulawesi,213791.89,50.84,1086933.12,2020,Sulawesi
Southeast Sulawesi,25124.41,39.39,98972.12,2020,Sulawesi
Gorontalo,125415.3,46.28,580370.29,2020,Sulawesi
West Sulawesi,2297.16,48.93,11239.6,2020,Sulawesi
Maluku,4324.52,34.53,14934.68,2020,Maluku
North Maluku,928.0,41.12,3816.09,2020,Maluku
West Papua,1340.64,38.03,5098.77,2020,Papua
Papua,0.0,0.0,0.0,2020,Papua
Papua,2617.97,42.48,11120.24,2020,Papua
Papua,0.0,0.0,0.0,2020,Papua
Papua,0.0,0.0,0.0,2020,Papua
Papua,0.0,0.0,0.0,2020,Papua
Aceh,10289.99,56.21,57835.8,2021,Sumatra
North Sumatra,153631.83,62.29,956938.92,2021,Sumatra
West Sumatra,67159.49,65.19,437814.33,2021,Sumatra
Riau,306.22,32.32,989.61,2021,Sumatra
Jambi,1665.97,58.34,9719.01,2021,Sumatra
South Sumatra,51690.6,61.23,316505.64,2021,Sumatra
Bengkulu,5983.25,61.73,36934.89,2021,Sumatra
Lampung,172107.96,65.6,1129111.67,2021,Sumatra
Bangka Belitung Islands,97.31,35.85,348.85,2021,Sumatra
Riau Islands,2.62,48.95,12.84,2021,Sumatra
Jakarta,0.0,0.0,0.0,2021,Java
West Java,68213.91,72.06,491527.65,2021,Java
Central Java,340315.45,62.56,2128959.17,2021,Java
Daerah Istimewa Yogyakarta,38391.14,51.35,197154.61,2021,Java
East Java,687502.66,58.06,3991492.48,2021,Java
Banten,1375.5,68.29,9393.64,2021,Java
Bali,10245.83,48.92,50117.54,2021,Bali–Nusa Tenggara
West Nusa Tenggara,156985.86,64.92,1019224.88,2021,Bali–Nusa Tenggara
East Nusa Tenggara,111362.16,25.62,285344.59,2021,Bali–Nusa Tenggara
West Kalimantan,8916.04,49.63,44252.44,2021,Kalimantan
Central Kalimantan,6591.87,53.76,35440.16,2021,Kalimantan
South Kalimantan,23340.2,57.98,135325.9,2021,Kalimantan
East Kalimantan,2526.48,57.61,14554.97,2021,Kalimantan
North Kalimantan,75.36,51.1,385.1,2021,Kalimantan
North Sulawesi,39055.74,42.65,166579.9,2021,Sulawesi
