38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Jagung Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2020,2020,2020
ACEH,11581.2,55.22,63950.8
SUMATERA UTARA,135334.39,57.87,783126.62
SUMATERA BARAT,65756.37,64.64,425025.38
RIAU,138.92,34.03,472.78
JAMBI,1111,68.45,7604.47
SUMATERA SELATAN,35073.88,60.37,211735.52
BENGKULU,4145.68,56.48,23415.58
LAMPUNG,156654.98,62.04,971957.39
KEP. BANGKA BELITUNG,28.73,44.09,126.66
KEP. RIAU,2.75,55.4,15.22
DKI JAKARTA,-,-,-
JAWA BARAT,59430.55,70.4,418401.74
JAWA TENGAH,377065.18,60.44,2279146.32
DI YOGYAKARTA,31380.87,53.99,169430.71
JAWA TIMUR,722182.15,57.26,4134908.41
BANTEN,2945.5,69.09,20349.88
BALI,7927.98,44.14,34994.61
NUSA TENGGARA BARAT,145562.61,59.12,860494.72
NUSA TENGGARA TIMUR,107094.89,23.85,255452.99
KALIMANTAN BARAT,4721.73,42.96,20284.05
KALIMANTAN TENGAH,5816.31,53.3,30998.17
KALIMANTAN SELATAN,28796.76,53.06,152796.9
KALIMANTAN TIMUR,1989.07,53.21,10584.65
KALIMANTAN UTARA,292.82,39.93,1169.07
SULAWESI UTARA,42343.67,41.19,174417.59
SULAWESI TENGAH,14648.4,44.78,65595.66
SULAWESI SELATAN,213791.89,50.84,1086933.12
SULAWESI TENGGARA,25124.41,39.39,98972.12
GORONTALO,125415.3,46.28,580370.29
SULAWESI BARAT,2297.16,48.93,11239.6
MALUKU,4324.52,34.53,14934.68
MALUKU UTARA,928,41.12,3816.09
PAPUA BARAT,1340.64,38.03,5098.77
PAPUA BARAT DAYA,-,-,-
PAPUA,2617.97,42.48,11120.24
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,2337866.28,55.3,12928940.8
