38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2018,2018,2018
ACEH,329515.78,56.49,1861567.1
SUMATERA UTARA,408176.45,51.65,2108284.72
SUMATERA BARAT,313050.82,47.37,1483076.48
RIAU,71448.08,37.28,266375.53
JAMBI,86202.68,44.44,383045.74
SUMATERA SELATAN,581574.61,51.48,2994191.84
BENGKULU,65891.16,43.83,288810.52
LAMPUNG,511940.93,48.61,2488641.91
KEP. BANGKA BELITUNG,17233.59,26.53,45724.69
KEP. RIAU,375.87,29.19,1097
DKI JAKARTA,673.37,72.76,4899.14
JAWA BARAT,1707253.81,56.51,9647358.75
JAWA TENGAH,1821983.17,57.63,10499588.23
DI YOGYAKARTA,93956.45,54.81,514935.49
JAWA TIMUR,1751191.67,58.26,10203213.17
BANTEN,344836.06,48.94,1687783.3
BALI,110978.37,60.11,667069.06
NUSA TENGGARA BARAT,289242.59,50.49,1460338.81
NUSA TENGGARA TIMUR,218232.91,41.24,899935.88
KALIMANTAN BARAT,286476.03,27.92,799715.21
KALIMANTAN TENGAH,147571.69,34.88,514769.05
KALIMANTAN SELATAN,323091.21,41.09,1327492.41
KALIMANTAN TIMUR,64961.16,40.45,262773.88
KALIMANTAN UTARA,13707,32.88,45063.53
SULAWESI UTARA,70352.62,46.47,326929.74
SULAWESI TENGAH,201279.24,46.05,926978.66
SULAWESI SELATAN,1185484.1,50.21,5952616.45
SULAWESI TENGGARA,136673.75,39.43,538876.14
GORONTALO,56631.64,47.6,269540.4
SULAWESI BARAT,65303.78,48.46,316478.37
MALUKU,29052.14,40.01,116228.86
MALUKU UTARA,13412.75,36.57,49047.11
PAPUA BARAT,7767.01,32.15,24967.13
PAPUA BARAT DAYA,-,-,-
PAPUA,52411.95,42.57,223119.42
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,11377934.44,52.03,59200533.72
