38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2019,2019,2019
ACEH,310012.46,55.3,1714437.6
SUMATERA UTARA,413141.24,50.32,2078901.59
SUMATERA BARAT,311671.23,47.58,1482996.01
RIAU,63142.04,36.56,230873.97
JAMBI,69536.06,44.57,309932.68
SUMATERA SELATAN,539316.52,48.27,2603396.24
BENGKULU,64406.86,46.03,296472.07
LAMPUNG,464103.42,46.63,2164089.33
KEP. BANGKA BELITUNG,17087.81,28.56,48805.68
KEP. RIAU,356.27,32.3,1150.8
DKI JAKARTA,622.59,53.96,3359.31
JAWA BARAT,1578835.7,57.54,9084957.22
JAWA TENGAH,1678479.21,57.53,9655653.98
DI YOGYAKARTA,111477.36,47.86,533477.4
JAWA TIMUR,1702426.36,56.28,9580933.88
BANTEN,303731.8,48.41,1470503.35
BALI,95319.34,60.78,579320.53
NUSA TENGGARA BARAT,281666.04,49.78,1402182.39
NUSA TENGGARA TIMUR,198867.41,40.82,811724.18
KALIMANTAN BARAT,290048.44,29.23,847875.13
KALIMANTAN TENGAH,146144.51,30.35,443561.33
KALIMANTAN SELATAN,356245.95,37.69,1342861.82
KALIMANTAN TIMUR,69707.75,36.41,253818.37
KALIMANTAN UTARA,10294.7,32.4,33357.19
SULAWESI UTARA,62020.39,44.79,277776.31
SULAWESI TENGAH,186100.44,45.4,844904.3
SULAWESI SELATAN,1010188.75,50.03,5054166.96
SULAWESI TENGGARA,132343.86,39.27,519706.93
GORONTALO,49009.95,47.18,231211.11
SULAWESI BARAT,62581.47,47.96,300142.22
MALUKU,25976.85,37.82,98254.75
MALUKU UTARA,11700.5,32.43,37945.64
PAPUA BARAT,7192.15,41.63,29943.56
PAPUA BARAT DAYA,-,-,-
PAPUA,54131.72,43.48,235339.51
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,10677887.15,51.14,54604033.34
