Province,Year,Harvest Area(ha),Productivity (ku/ha),Production(ton),Island
Aceh,2018,329515.78,56.49,1861567.1,Sumatra
Aceh,2019,310012.46,55.3,1714437.6,Sumatra
Aceh,2020,317869.41,55.28,1757313.07,Sumatra
Aceh,2021,297058.38,55.03,1634639.6,Sumatra
Aceh,2022,271750.2,55.55,1509456.0,Sumatra
Aceh,2023,254287.38,55.22,1404234.82,Sumatra
Aceh,2024,301196.35,55.11,1659966.28,Sumatra
Bali,2018,110978.37,60.11,667069.06,Bali–Nusa Tenggara
Bali,2019,95319.34,60.78,579320.53,Bali–Nusa Tenggara
Bali,2020,90980.69,58.49,532168.45,Bali–Nusa Tenggara
Bali,2021,105201.31,58.83,618910.81,Bali–Nusa Tenggara
Bali,2022,112320.6,60.59,680601.6,Bali–Nusa Tenggara
Bali,2023,108514.06,62.07,673580.65,Bali–Nusa Tenggara
Bali,2024,103803.93,61.22,635473.35,Bali–Nusa Tenggara
Banten,2018,344836.06,48.94,1687783.3,Java
Banten,2019,303731.8,48.41,1470503.35,Java
Banten,2020,325333.24,50.88,1655170.09,Java
Banten,2021,318248.46,50.38,1603247.0,Java
Banten,2022,337240.7,53.04,1788583.0,Java
Banten,2023,311199.73,54.19,1686483.29,Java
Banten,2024,299090.79,51.84,1550623.46,Java
Bengkulu,2018,65891.16,43.83,288810.52,Sumatra
Bengkulu,2019,64406.86,46.03,296472.07,Sumatra
Bengkulu,2020,64137.28,45.66,292834.04,Sumatra
Bengkulu,2021,55704.69,48.67,271117.19,Sumatra
Bengkulu,2022,57151.84,49.27,281610.1,Sumatra
Bengkulu,2023,57877.18,49.53,286684.43,Sumatra
Bengkulu,2024,55775.09,48.92,272848.55,Sumatra
Daerah Istimewa Yogyakarta,2018,93956.45,54.81,514935.49,Java
Daerah Istimewa Yogyakarta,2019,111477.36,47.86,533477.4,Java
Daerah Istimewa Yogyakarta,2020,110548.12,47.35,523395.95,Java
Daerah Istimewa Yogyakarta,2021,107506.16,51.77,556531.03,Java
Daerah Istimewa Yogyakarta,2022,110927.2,50.64,561699.5,Java
Daerah Istimewa Yogyakarta,2023,105693.66,50.53,534113.69,Java
Daerah Istimewa Yogyakarta,2024,96976.13,46.7,452831.77,Java
Jakarta,2018,673.37,72.76,4899.14,Java
Jakarta,2019,622.59,53.96,3359.31,Java
Jakarta,2020,914.51,49.69,4543.93,Java
Jakarta,2021,559.97,58.03,3249.47,Java
Jakarta,2022,477.25,48.98,2337.77,Java
Jakarta,2023,542.93,49.26,2674.28,Java
Jakarta,2024,498.31,46.29,2306.54,Java
Gorontalo,2018,56631.64,47.6,269540.4,Sulawesi
Gorontalo,2019,49009.95,47.18,231211.11,Sulawesi
Gorontalo,2020,48686.34,46.75,227627.2,Sulawesi
Gorontalo,2021,48713.5,48.12,234392.86,Sulawesi
Gorontalo,2022,46823.47,51.29,240134.5,Sulawesi
Gorontalo,2023,49610.47,50.68,251431.76,Sulawesi
Gorontalo,2024,46952.15,50.02,234862.88,Sulawesi
Jambi,2018,86202.68,44.44,383045.74,Sumatra
Jambi,2019,69536.06,44.57,309932.68,Sumatra
Jambi,2020,84772.93,45.58,386413.49,Sumatra
Jambi,2021,64412.26,46.29,298149.25,Sumatra
Jambi,2022,60539.59,45.88,277743.8,Sumatra
Jambi,2023,61236.64,45.06,275941.45,Sumatra
Jambi,2024,61625.68,45.6,281022.05,Sumatra
West Java,2018,1707253.81,56.51,9647358.75,Java
West Java,2019,1578835.7,57.54,9084957.22,Java
West Java,2020,1586888.63,56.82,9016772.58,Java
West Java,2021,1604109.31,56.81,9113573.08,Java
West Java,2022,1662404.0,56.75,9433723.0,Java
West Java,2023,1583656.28,57.71,9140039.2,Java
West Java,2024,1475362.09,58.47,8626879.91,Java
Central Java,2018,1821983.17,57.63,10499588.23,Java
Central Java,2019,1678479.21,57.53,9655653.98,Java
Central Java,2020,1666931.49,56.93,9489164.62,Java
Central Java,2021,1696712.36,56.69,9618656.81,Java
Central Java,2022,1688670.0,55.41,9356445.0,Java
Central Java,2023,1642761.23,55.3,9084107.53,Java
Central Java,2024,1554777.14,57.19,8891297.05,Java
East Java,2018,1751191.67,58.26,10203213.17,Java
East Java,2019,1702426.36,56.28,9580933.88,Java
East Java,2020,1754380.3,56.68,9944538.26,Java
East Java,2021,1747481.2,56.02,9789587.67,Java
East Java,2022,1693211.0,56.26,9526516.0,Java
East Java,2023,1698083.31,57.19,9710661.33,Java
East Java,2024,1616985.05,57.33,9270435.29,Java
West Kalimantan,2018,286476.03,27.92,799715.21,Kalimantan
West Kalimantan,2019,290048.44,29.23,847875.13,Kalimantan
West Kalimantan,2020,256575.43,30.33,778170.36,Kalimantan
West Kalimantan,2021,223165.74,31.9,711898.01,Kalimantan
